datetime,portfolio_value,cash,positions,return
2020-12-01 08:30:00-05:00,100000.0,100000.0,[],
2020-12-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-25 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-30 09:30:00-05:00,100000.0,100000.0,[],0.0
2020-12-31 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-25 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-30 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-01-31 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-25 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-02-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-03-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2021-03-02 09:30:00-05:00,100000.0,100000.0,[],0.0
